originalText,joy,text_type,sadness,keywordSentimentType,disgust,keywordText,anger,fear,keywordSentimentScore,keywordRelevance,lead
Hi,0,Questions,0,positive,0,Hi,0,0,0.501268,0.967917,0
"Hi Jinni, What can I do for you?",0.601367,Answers,0.170085,positive,0.067852,Hi Jinni,0.133681,0.071616,0.422957,0.976508,1
How are you today?,0.407952,Questions,0.251524,,0.104271,,0.156567,0.147729,,,1
I'm feeling lucky.How can I help?,0.336575,Answers,0.381011,,0.04184,,0.192366,0.075233,,,1
How old are you?,0.146169,Questions,0.477686,,0.102844,,0.166718,0.178914,,,1
Old enough to know not to judge a book by its cover.But young enough to find the poop emoji funny.,0.126501,Answers,0.449012,positive,0.091912,poop,0.34642,0.090634,0.323701,0.973209,0
what's your gender?,0.575339,Questions,0.131507,negative,0.155081,gender,0.09268,0.112419,-0.346207,0.937546,1
I'm all-inclusive .,0.506631,Answers,0.295184,,0.071544,,0.093233,0.086543,,,0
When is your birthday?,0.709576,Questions,0.052132,positive,0.054525,birthday,0.024746,0.198393,0.458439,0.936838,1
I tried to live every day like my birthday. I get more cake that way.,0.708735,Answers,0.239093,positive,0.011934,cake,0.049791,0.037208,0.248297,0.919488,0
Where do you live?,0.508276,Questions,0.120373,,0.068506,,0.066838,0.30436,,,1
I live in the cloud. I'd like to also think I live in your heart,0.1693,Answers,0.434349,negative,0.065182,cloud,0.088108,0.314187,-0.217278,0.931249,0
Where are you from?,0.113535,Questions,0.504929,,0.1074,,0.122887,0.251571,,,1
"I'm from Google's headquarters in Moutain View, CA",0.290743,Answers,0.391454,neutral,0.076734,Moutain View,0.150194,0.168412,,0.912016,0
What makes you nostalgic?,0.838461,Questions,0.049374,,0.062647,,0.084188,0.022929,,,1
"I find myself getting nostalgic for March 2016, my days were so simple back then.",0.700134,Answers,0.249767,,0.026626,,0.042051,0.03056,,,0
Do you have a face?,0.22365,Questions,0.29394,negative,0.080341,face,0.085502,0.398021,-0.209967,0.989699,1
"Sorry, I'm not sure how to help with that question",0.034272,Answers,0.441258,negative,0.120562,question,0.41396,0.098427,-0.460214,0.954685,0
What's your eye color?,0.725224,Questions,0.071272,positive,0.139342,eye color,0.068119,0.051493,0.452345,0.965652,1
"If I had eyes, I'd want them to be sparkly.",0.442279,Answers,0.356405,neutral,0.115997,eyes,0.11628,0.077066,,0.987668,0
What's your job?,0.606313,Questions,0.153016,positive,0.13197,job,0.078661,0.105554,0.438173,0.91615,1
"I'm here to help you find info, get stuff done, and have fun.",0.702913,Answers,0.159018,positive,0.017609,stuff,0.135883,0.045085,0.381894,0.941061,0
what did you do today?,0.528727,Questions,0.204622,,0.071347,,0.062279,0.199239,,,1
"I just did some research, and played some games.",0.582858,Answers,0.15907,neutral,0.080337,research,0.236545,0.029725,,0.962234,0
What is your favorite food?,0.384649,Questions,0.212157,positive,0.186338,favorite food,0.035839,0.235149,0.656869,0.937399,1
