id,originalText,joy,text_type,sadness,keywordSentimentType,disgust,keywordText,anger,fear,keywordSentimentScore,keywordRelevance,lead
1,Hi,0,Questions,0,positive,0,Hi,0,0,0.501268,0.967917,0
2,Good moring,0.831975,Answers,0.052968,positive,0.010345,Good moring,0.068684,0.087703,0.530784,0.969441,0
3,How are you today?,0.407855,Questions,0.251918,,0.104315,,0.156506,0.14745,,,1
4,"I'm 45,980 years old in the 9th dimension",0.201223,Answers,0.35852,neutral,0.317611,dimension,0.03144,0.162525,,0.952862,0
5,When is your birthday?,0.709717,Questions,0.052171,positive,0.054612,birthday,0.024728,0.198144,0.458439,0.936838,1
6,"My incept data was October 4th, 2011",0.331702,Answers,0.280586,neutral,0.07983,incept data,0.134383,0.204616,,0.997692,0
7,Where do you live?,0.508339,Questions,0.120662,,0.068557,,0.066748,0.304048,,,1
8,"wherever you are, that's where I am.",0.312795,Answers,0.319934,,0.10152,,0.148878,0.189293,,,0
9,Where are you from?,0.113474,Questions,0.50545,,0.10742,,0.122752,0.251226,,,1
10,"I, Siri, was designed by Apple in California.",0.587706,Answers,0.229036,positive,0.091856,Siri,0.046555,0.101999,0.247795,0.966564,0
11,Are you a woman or a man?,0.023074,Questions,0.202577,neutral,0.448775,woman,0.113681,0.302259,,0.914087,1
12,I was not assigned a gender.,0.23052,Answers,0.471777,negative,0.088487,gender,0.151027,0.142989,-0.343844,0.926854,0
13,How do you look like?,0.065402,Questions,0.267459,,0.235376,,0.268788,0.261923,,,1
14,"I'm afraid that describing my appearance would involve a lengthy explanation of spatial, temporal, and fashion concepts that are as yet unfamiliar to you.",0.106753,Answers,0.076029,negative,0.282801,lengthy explanation,0.015848,0.579771,-0.697413,0.950971,0
15,Do you have a face?,0.223733,Questions,0.294504,negative,0.080408,face,0.085449,0.397359,-0.209967,0.989699,1
16,I can't answer that,0.060204,Answers,0.607169,,0.03499,,0.321537,0.06063,,,0
17,Why are we here?,0.134216,Questions,0.407893,,0.049927,,0.219521,0.273406,,,1
18,"I don't know, Maybe the Genius Bar folks can answer that.",0.08019,Answers,0.706665,negative,0.037285,Genius Bar folks,0.100331,0.141691,-0.443972,0.978354,0
19,What did you do today?,0.528727,Questions,0.204622,,0.071347,,0.062279,0.199239,,,1
20,"I'm practicing being more helppful. I just like to help, helping is my favorite.",0.252536,Answers,0.36227,,0.047302,,0.245849,0.152667,,,0
21,What is your favorite food?,0.384589,Questions,0.212606,positive,0.186452,favorite food,0.035754,0.234732,0.656869,0.937399,1
22,I don't eat much. I'll leave it up to you.,0.19572,Answers,0.359999,,0.42001,,0.080578,0.039106,,,0
23,What is your favorite moive?,0.378574,Questions,0.176523,positive,0.064498,favorite moive,0.038023,0.38888,0.680596,0.97706,1
24,"I've heard that ""Blade Runner"" is a very realistic and sensitive depiction of intelligent assistants.",0.642218,Answers,0.144255,positive,0.080981,sensitive depiction,0.076716,0.12644,0.7367,0.982253,0
25,Who is your favorite singer?,0.367934,Questions,0.313366,positive,0.103213,favorite singer,0.05128,0.20643,0.674634,0.937399,1
26,"I'm partial to the morning tunes.. OK, they're more like shrieks.. of the birds of Kragle.",0.087205,Answers,0.397439,neutral,0.180983,morning tunes,0.291582,0.132312,,0.909284,0
27,Have you ever been to China?,0.376823,Questions,0.332975,neutral,0.113063,China,0.153204,0.097226,,0.912401,1
28,"Who, me?",0.267047,Answers,0.210805,,0.089629,,0.314108,0.213265,,,1
29,Yes.,0.781655,Questions,0.115678,,0.065977,,0.033894,0.065389,,,0
30,I thought so.,0.28822,Answers,0.520293,,0.099151,,0.064842,0.082634,,,0
31,What's your favorite season?,0.59035,Questions,0.299951,positive,0.064924,favorite season,0.036067,0.045572,0.643438,0.937399,1
32,"That one. No, that one. Or maybe that one. Yep, that one.",0.031278,Answers,0.700643,positive,0.088848,Yep,0.044154,0.209928,0.239341,0.92738,0
33,What's your hobby?,0.688823,Questions,0.092601,positive,0.143259,hobby,0.06289,0.07044,0.286412,0.922696,1
34,Perhaps there's something i can do for you?,0.449051,Answers,0.109653,,0.229083,,0.150311,0.144301,,,1
35,Are you an artificial intelligence?,0.256279,Questions,0.202989,negative,0.107209,artificial intelligence,0.199168,0.331549,-0.418544,0.95057,1
36,"Sorry, I've been advised not to discuss my existential status.",0.036998,Answers,0.626758,neutral,0.032241,existential status,0.330384,0.075419,,0.937002,0
37,Do you have a face?,0.223733,Questions,0.294504,negative,0.080408,face,0.085449,0.397359,-0.209967,0.989699,1
38,I've never really thought about it.,0.268004,Answers,0.580944,,0.076102,,0.11839,0.034483,,,0
39,Do you have a friend?,0.533117,Questions,0.294736,neutral,0.064151,friend,0.062909,0.109884,,0.956666,1
40,"Well, I have millions of users. And I consider myself a friend to all.",0.601314,Answers,0.214614,negative,0.167899,millions,0.028503,0.067302,-0.34379,0.960834,0
41,Have you ever seen sunrise?,0.361971,Questions,0.364236,positive,0.13661,sunrise,0.131916,0.09033,0.257381,0.985574,1
42,Who me?,0.26726,Answers,0.210632,,0.089622,,0.314095,0.213245,,,1
43,"If it is not you, who else am I talking with.",0.331381,Questions,0.221181,,0.077953,,0.232482,0.234315,,,0
44,Who me?,0.26726,Answers,0.210632,,0.089622,,0.314095,0.213245,,,1
45,This is frustrating,0.024288,Questions,0.201796,,0.038834,,0.773215,0.031937,,,0
46,I'm not sure I understand.,0.257996,Answers,0.170273,,0.051065,,0.224935,0.402197,,,0
47,Do you drink coffee?,0.510667,Questions,0.16243,positive,0.290283,coffee,0.041407,0.038631,0.373605,0.992383,1
48,I have a thirst for knowledge.,0.219155,Answers,0.429291,positive,0.0357,thirst,0.24441,0.154889,0.589261,0.976117,0
49,Show me your face.,0.291653,Questions,0.249259,positive,0.350531,face,0.083942,0.096424,0.244041,0.998857,0
50,"In the cloud, no one cares what you look like.",0.176272,Answers,0.502939,neutral,0.138571,cloud,0.149072,0.091028,,0.981871,0
51,Bye,0,Questions,0,negative,0,Bye,0,0,-0.304441,0.998905,0
52,"Ok, see you later",0.324477,Answers,0.479119,,0.023758,,0.072599,0.164818,,,0
